split,class,image_filename,image_source,image_destination,mask_filename,mask_source,mask_destination,image_sha256,mask_sha256,width,height,bands,dtype,storage_method,excluded,exclusion_reason
train,Oil,00501.tif,Oil/00501.tif,train/images/Oil/00501.tif,00501.tif,Mask_oil/00501.tif,train/masks/Oil/00501.tif,09f0e04e3c207e084225c57ae6670f4c199891da5d8acd6c0b40e739142cc711,5526a4b79fe7a57f8c831c0b9d1300f435a1c0426f10ee1159eb15df93558f5a,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00889.tif,Oil/00889.tif,train/images/Oil/00889.tif,00889.tif,Mask_oil/00889.tif,train/masks/Oil/00889.tif,88eb7e82b37fd2f7f71b93b543ec4f2fbf71a17ee09b5ec14485075d8e2c8b49,776002509854c053a9331a1e81a2598a532f6c7c35d8a5f78e59b1ef7593a13d,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,01183.tif,Oil/01183.tif,train/images/Oil/01183.tif,01183.tif,Mask_oil/01183.tif,train/masks/Oil/01183.tif,b0bf583b5761ef0c183547d23b34468b5f1b707aa1b66810b5a1d57cd4640a67,dd87abc7c2cb4f17b201d5f0acaa3c0cc00cfac927bf7dc8c8e30f590eeb7580,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,01236.tif,Oil/01236.tif,train/images/Oil/01236.tif,01236.tif,Mask_oil/01236.tif,train/masks/Oil/01236.tif,1d295516b550b1e0b0c1532814ba1dc3723d713bd6092e1963c895d8c129e9ce,44a54e7fbffd7c8e2d1d89671dd08de24bcc8b1fc86dd71b61d702615ba62e93,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00897.tif,Oil/00897.tif,train/images/Oil/00897.tif,00897.tif,Mask_oil/00897.tif,train/masks/Oil/00897.tif,1b34adf84cdd7bd85d9ea47361c33a1e42bfa10e49f3ba0a224dd5e06e47b354,001033aa989eed5a7252fbb5ceb56abfac5fcd26bb8c21e0abd614a6a6d6594d,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00096.tif,Oil/00096.tif,train/images/Oil/00096.tif,00096.tif,Mask_oil/00096.tif,train/masks/Oil/00096.tif,09121b140aa61b4c790d60e56d4964ce7103d4bb9728012beaa3f83fe995d9c8,01a3da8e71aec17e4eed9af1815713a1aee54bdd5f444984c279a6c4a33cccf7,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,01076.tif,Oil/01076.tif,train/images/Oil/01076.tif,01076.tif,Mask_oil/01076.tif,train/masks/Oil/01076.tif,d0ce6880f5b0764cf706ef5bd4b733b6e93c4d5829022434ce589925e507670c,276978d0d1a29e2fc9f3daebedc09e7c850075de0479d18319c29071ef23055d,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00560.tif,Oil/00560.tif,train/images/Oil/00560.tif,00560.tif,Mask_oil/00560.tif,train/masks/Oil/00560.tif,6825c748b3314e07fab3d3353b8a3c8a7e1ba40fe7006f4a6915e176e4343060,9bb87624e604f75d7f71f4888e3245e519d75a0dc5fb8e95556db5fb1d4f8f08,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00866.tif,Oil/00866.tif,train/images/Oil/00866.tif,00866.tif,Mask_oil/00866.tif,train/masks/Oil/00866.tif,0d32e3d1a44b5c71ad7550d1fb11f0d9ff979846b11ca894434bd8843a58deb6,78487c6b00794da29aebb91e95a191e848f891acc9fc41e43fb359445a1b83be,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00374.tif,Oil/00374.tif,train/images/Oil/00374.tif,00374.tif,Mask_oil/00374.tif,train/masks/Oil/00374.tif,eb939dc1a768673a45ddc8d8690e7545af6904a9db4c8782d72b8d4e21323034,bca6ec9c06405e505613f7e45278ab84c5c2b721dba4c70170461899cdb4ee41,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,01195.tif,Oil/01195.tif,train/images/Oil/01195.tif,01195.tif,Mask_oil/01195.tif,train/masks/Oil/01195.tif,2789a2b2f2ebe9d5c3f418f8919c35ab82e56984a9082b3ea9828532ef798c2b,69562185ffbd2a503f0c4a9e008e81786e6a763a53df7b5ed45d6daf826e6d60,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00820.tif,Oil/00820.tif,train/images/Oil/00820.tif,00820.tif,Mask_oil/00820.tif,train/masks/Oil/00820.tif,c5106b9ebdee4cc07443ea916302cb360501163e9b3653f7b293fd44d694de0e,55669f441a79be0fef59c2bd086d1fed12291bc10829026bc480a2010b01b5eb,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00079.tif,Oil/00079.tif,train/images/Oil/00079.tif,00079.tif,Mask_oil/00079.tif,train/masks/Oil/00079.tif,e1f821d524fe4405dc03414b6287fec53ed7018e5ea16a6efe41b7d2cb196313,762e2b399889636b1ad092229dc1e38e2579ccd1dfe5e1bc43c89a1be4e14ed8,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00807.tif,Oil/00807.tif,train/images/Oil/00807.tif,00807.tif,Mask_oil/00807.tif,train/masks/Oil/00807.tif,89db654dce3e9cd6f4e91c9bc70d12d2b61b7b73128b47aa773b469fea17ee50,c64a6fa452b6309c7acd8cb5d283b365acf28ac8896dc4b3e40908cac90e83a9,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00950.tif,Oil/00950.tif,train/images/Oil/00950.tif,00950.tif,Mask_oil/00950.tif,train/masks/Oil/00950.tif,a63a6356dfd9ed550c97d4484aa34583d2f56d75cb4fe2c78e57c5095e96ebcb,6ff6c607339923419cba76ec8430c181cca59fc5aa8a3d3364609965c77a025f,2048,2048,2,float32+float32,HARD_LINK,NO,
train,Oil,00840.tif,Oil/00840.tif,train/images/Oil/00840.tif,00840.tif,Mask_oil/00840.tif,train/masks/Oil/00840.tif,d0336a4a45f529029713ef87232397b57da7461e4f59e103716d8f3527079241,21fa93bf77d828f8a56efaeccb4799f1a88bfd7153c066f0f1ebf3858ba1e39e,2048,2048,2,float32+float32,HARD_LINK,NO,
