tile_id,split,class,image_id,image_path,mask_path,x,y,tile_width,tile_height,original_width,original_height
test_Lookalike_00000_x0000_y0000,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,0,0,512,512,2048,2048
test_Lookalike_00000_x0512_y0000,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,512,0,512,512,2048,2048
test_Lookalike_00000_x1024_y0000,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,1024,0,512,512,2048,2048
test_Lookalike_00000_x1536_y0000,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,1536,0,512,512,2048,2048
test_Lookalike_00000_x0000_y0512,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,0,512,512,512,2048,2048
test_Lookalike_00000_x0512_y0512,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,512,512,512,512,2048,2048
test_Lookalike_00000_x1024_y0512,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,1024,512,512,512,2048,2048
test_Lookalike_00000_x1536_y0512,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,1536,512,512,512,2048,2048
test_Lookalike_00000_x0000_y1024,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,0,1024,512,512,2048,2048
test_Lookalike_00000_x0512_y1024,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,512,1024,512,512,2048,2048
test_Lookalike_00000_x1024_y1024,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,1024,1024,512,512,2048,2048
test_Lookalike_00000_x1536_y1024,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,1536,1024,512,512,2048,2048
test_Lookalike_00000_x0000_y1536,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,0,1536,512,512,2048,2048
test_Lookalike_00000_x0512_y1536,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,512,1536,512,512,2048,2048
test_Lookalike_00000_x1024_y1536,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,1024,1536,512,512,2048,2048
test_Lookalike_00000_x1536_y1536,test,Lookalike,Test_Images/Lookalike/00000.tif,test/images/Lookalike/00000.tif,test/masks/Lookalike/00000_segmentation.tif,1536,1536,512,512,2048,2048
test_Lookalike_00001_x0000_y0000,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,0,0,512,512,2048,2048
test_Lookalike_00001_x0512_y0000,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,512,0,512,512,2048,2048
test_Lookalike_00001_x1024_y0000,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,1024,0,512,512,2048,2048
test_Lookalike_00001_x1536_y0000,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,1536,0,512,512,2048,2048
test_Lookalike_00001_x0000_y0512,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,0,512,512,512,2048,2048
test_Lookalike_00001_x0512_y0512,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,512,512,512,512,2048,2048
test_Lookalike_00001_x1024_y0512,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,1024,512,512,512,2048,2048
test_Lookalike_00001_x1536_y0512,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,1536,512,512,512,2048,2048
test_Lookalike_00001_x0000_y1024,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,0,1024,512,512,2048,2048
test_Lookalike_00001_x0512_y1024,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,512,1024,512,512,2048,2048
test_Lookalike_00001_x1024_y1024,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,1024,1024,512,512,2048,2048
test_Lookalike_00001_x1536_y1024,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,1536,1024,512,512,2048,2048
test_Lookalike_00001_x0000_y1536,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,0,1536,512,512,2048,2048
test_Lookalike_00001_x0512_y1536,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,512,1536,512,512,2048,2048
test_Lookalike_00001_x1024_y1536,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,1024,1536,512,512,2048,2048
test_Lookalike_00001_x1536_y1536,test,Lookalike,Test_Images/Lookalike/00001.tif,test/images/Lookalike/00001.tif,test/masks/Lookalike/00001_segmentation.tif,1536,1536,512,512,2048,2048
test_Lookalike_00002_x0000_y0000,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,0,0,512,512,2048,2048
test_Lookalike_00002_x0512_y0000,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,512,0,512,512,2048,2048
test_Lookalike_00002_x1024_y0000,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,1024,0,512,512,2048,2048
test_Lookalike_00002_x1536_y0000,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,1536,0,512,512,2048,2048
test_Lookalike_00002_x0000_y0512,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,0,512,512,512,2048,2048
test_Lookalike_00002_x0512_y0512,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,512,512,512,512,2048,2048
test_Lookalike_00002_x1024_y0512,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,1024,512,512,512,2048,2048
test_Lookalike_00002_x1536_y0512,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,1536,512,512,512,2048,2048
test_Lookalike_00002_x0000_y1024,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,0,1024,512,512,2048,2048
test_Lookalike_00002_x0512_y1024,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,512,1024,512,512,2048,2048
test_Lookalike_00002_x1024_y1024,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,1024,1024,512,512,2048,2048
test_Lookalike_00002_x1536_y1024,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,1536,1024,512,512,2048,2048
test_Lookalike_00002_x0000_y1536,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,0,1536,512,512,2048,2048
test_Lookalike_00002_x0512_y1536,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,512,1536,512,512,2048,2048
test_Lookalike_00002_x1024_y1536,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,1024,1536,512,512,2048,2048
test_Lookalike_00002_x1536_y1536,test,Lookalike,Test_Images/Lookalike/00002.tif,test/images/Lookalike/00002.tif,test/masks/Lookalike/00002_segmentation.tif,1536,1536,512,512,2048,2048
test_Lookalike_00003_x0000_y0000,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,0,0,512,512,2048,2048
test_Lookalike_00003_x0512_y0000,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,512,0,512,512,2048,2048
test_Lookalike_00003_x1024_y0000,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,1024,0,512,512,2048,2048
test_Lookalike_00003_x1536_y0000,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,1536,0,512,512,2048,2048
test_Lookalike_00003_x0000_y0512,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,0,512,512,512,2048,2048
test_Lookalike_00003_x0512_y0512,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,512,512,512,512,2048,2048
test_Lookalike_00003_x1024_y0512,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,1024,512,512,512,2048,2048
test_Lookalike_00003_x1536_y0512,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,1536,512,512,512,2048,2048
test_Lookalike_00003_x0000_y1024,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,0,1024,512,512,2048,2048
test_Lookalike_00003_x0512_y1024,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,512,1024,512,512,2048,2048
test_Lookalike_00003_x1024_y1024,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,1024,1024,512,512,2048,2048
test_Lookalike_00003_x1536_y1024,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,1536,1024,512,512,2048,2048
test_Lookalike_00003_x0000_y1536,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,0,1536,512,512,2048,2048
test_Lookalike_00003_x0512_y1536,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,512,1536,512,512,2048,2048
test_Lookalike_00003_x1024_y1536,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,1024,1536,512,512,2048,2048
test_Lookalike_00003_x1536_y1536,test,Lookalike,Test_Images/Lookalike/00003.tif,test/images/Lookalike/00003.tif,test/masks/Lookalike/00003_segmentation.tif,1536,1536,512,512,2048,2048
test_Lookalike_00004_x0000_y0000,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,0,0,512,512,2048,2048
test_Lookalike_00004_x0512_y0000,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,512,0,512,512,2048,2048
test_Lookalike_00004_x1024_y0000,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,1024,0,512,512,2048,2048
test_Lookalike_00004_x1536_y0000,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,1536,0,512,512,2048,2048
test_Lookalike_00004_x0000_y0512,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,0,512,512,512,2048,2048
test_Lookalike_00004_x0512_y0512,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,512,512,512,512,2048,2048
test_Lookalike_00004_x1024_y0512,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,1024,512,512,512,2048,2048
test_Lookalike_00004_x1536_y0512,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,1536,512,512,512,2048,2048
test_Lookalike_00004_x0000_y1024,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,0,1024,512,512,2048,2048
test_Lookalike_00004_x0512_y1024,test,Lookalike,Test_Images/Lookalike/00004.tif,test/images/Lookalike/00004.tif,test/masks/Lookalike/00004_segmentation.tif,512,1024,512,512,2048,2048
