split,class,image_source,mask_source,width,height,bands,dtype,mask_width,mask_height,mask_unique,nan,posinf,neginf,status,issues
train,Oil,Oil/00501.tif,Mask_oil/00501.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00889.tif,Mask_oil/00889.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01183.tif,Mask_oil/01183.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01236.tif,Mask_oil/01236.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00897.tif,Mask_oil/00897.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00096.tif,Mask_oil/00096.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01076.tif,Mask_oil/01076.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00560.tif,Mask_oil/00560.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00866.tif,Mask_oil/00866.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00374.tif,Mask_oil/00374.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01195.tif,Mask_oil/01195.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00820.tif,Mask_oil/00820.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00079.tif,Mask_oil/00079.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00807.tif,Mask_oil/00807.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00950.tif,Mask_oil/00950.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00840.tif,Mask_oil/00840.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00478.tif,Mask_oil/00478.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00188.tif,Mask_oil/00188.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01165.tif,Mask_oil/01165.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00197.tif,Mask_oil/00197.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00846.tif,Mask_oil/00846.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00012.tif,Mask_oil/00012.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00845.tif,Mask_oil/00845.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00412.tif,Mask_oil/00412.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00461.tif,Mask_oil/00461.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00915.tif,Mask_oil/00915.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00772.tif,Mask_oil/00772.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01027.tif,Mask_oil/01027.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01179.tif,Mask_oil/01179.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00080.tif,Mask_oil/00080.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00871.tif,Mask_oil/00871.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01147.tif,Mask_oil/01147.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01158.tif,Mask_oil/01158.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00785.tif,Mask_oil/00785.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00133.tif,Mask_oil/00133.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00978.tif,Mask_oil/00978.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00570.tif,Mask_oil/00570.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00577.tif,Mask_oil/00577.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00294.tif,Mask_oil/00294.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00919.tif,Mask_oil/00919.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01046.tif,Mask_oil/01046.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00778.tif,Mask_oil/00778.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01299.tif,Mask_oil/01299.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01123.tif,Mask_oil/01123.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00452.tif,Mask_oil/00452.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01008.tif,Mask_oil/01008.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00788.tif,Mask_oil/00788.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01297.tif,Mask_oil/01297.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00521.tif,Mask_oil/00521.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00949.tif,Mask_oil/00949.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01169.tif,Mask_oil/01169.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00738.tif,Mask_oil/00738.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00675.tif,Mask_oil/00675.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00325.tif,Mask_oil/00325.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/01334.tif,Mask_oil/01334.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
train,Oil,Oil/00251.tif,Mask_oil/00251.tif,2048,2048,2,float32+float32,2048,2048,"[0, 1]",0,0,0,valid,
