image,mask,class,image_shape,mask_shape,shape_match,pair_status,note
Oil/00000.tif,Mask_oil/00000.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00001.tif,Mask_oil/00001.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00002.tif,Mask_oil/00002.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00003.tif,Mask_oil/00003.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00004.tif,Mask_oil/00004.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00005.tif,Mask_oil/00005.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00006.tif,Mask_oil/00006.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00007.tif,Mask_oil/00007.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00008.tif,Mask_oil/00008.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00009.tif,Mask_oil/00009.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00010.tif,Mask_oil/00010.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00011.tif,Mask_oil/00011.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00012.tif,Mask_oil/00012.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00013.tif,Mask_oil/00013.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00014.tif,Mask_oil/00014.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00015.tif,Mask_oil/00015.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00016.tif,Mask_oil/00016.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00017.tif,Mask_oil/00017.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00018.tif,Mask_oil/00018.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00019.tif,Mask_oil/00019.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00020.tif,Mask_oil/00020.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00021.tif,Mask_oil/00021.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00022.tif,Mask_oil/00022.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00023.tif,Mask_oil/00023.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00024.tif,Mask_oil/00024.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00025.tif,Mask_oil/00025.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00026.tif,Mask_oil/00026.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00027.tif,Mask_oil/00027.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00028.tif,Mask_oil/00028.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00029.tif,Mask_oil/00029.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00030.tif,Mask_oil/00030.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00031.tif,Mask_oil/00031.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00032.tif,Mask_oil/00032.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00036.tif,Mask_oil/00036.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00037.tif,Mask_oil/00037.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00038.tif,Mask_oil/00038.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00039.tif,Mask_oil/00039.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00040.tif,Mask_oil/00040.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00041.tif,Mask_oil/00041.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00042.tif,Mask_oil/00042.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00043.tif,Mask_oil/00043.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00045.tif,Mask_oil/00045.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00046.tif,Mask_oil/00046.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00047.tif,Mask_oil/00047.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00048.tif,Mask_oil/00048.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00050.tif,Mask_oil/00050.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00051.tif,Mask_oil/00051.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00052.tif,Mask_oil/00052.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00053.tif,Mask_oil/00053.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00054.tif,Mask_oil/00054.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00055.tif,Mask_oil/00055.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00056.tif,Mask_oil/00056.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00057.tif,Mask_oil/00057.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00058.tif,Mask_oil/00058.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00059.tif,Mask_oil/00059.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00061.tif,Mask_oil/00061.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00062.tif,Mask_oil/00062.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00064.tif,Mask_oil/00064.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00065.tif,Mask_oil/00065.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00067.tif,Mask_oil/00067.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00069.tif,Mask_oil/00069.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00073.tif,Mask_oil/00073.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00074.tif,Mask_oil/00074.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00075.tif,Mask_oil/00075.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00076.tif,Mask_oil/00076.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00077.tif,Mask_oil/00077.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00078.tif,Mask_oil/00078.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00079.tif,Mask_oil/00079.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00080.tif,Mask_oil/00080.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00082.tif,Mask_oil/00082.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00084.tif,Mask_oil/00084.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00085.tif,Mask_oil/00085.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00086.tif,Mask_oil/00086.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00087.tif,Mask_oil/00087.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00088.tif,Mask_oil/00088.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00089.tif,Mask_oil/00089.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00090.tif,Mask_oil/00090.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00091.tif,Mask_oil/00091.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00092.tif,Mask_oil/00092.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00093.tif,Mask_oil/00093.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00094.tif,Mask_oil/00094.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00095.tif,Mask_oil/00095.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00096.tif,Mask_oil/00096.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00097.tif,Mask_oil/00097.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00098.tif,Mask_oil/00098.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00099.tif,Mask_oil/00099.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00100.tif,Mask_oil/00100.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00101.tif,Mask_oil/00101.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00102.tif,Mask_oil/00102.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00103.tif,Mask_oil/00103.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00104.tif,Mask_oil/00104.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00108.tif,Mask_oil/00108.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00111.tif,Mask_oil/00111.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00112.tif,Mask_oil/00112.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00113.tif,Mask_oil/00113.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00114.tif,Mask_oil/00114.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00115.tif,Mask_oil/00115.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00116.tif,Mask_oil/00116.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00117.tif,Mask_oil/00117.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00118.tif,Mask_oil/00118.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00119.tif,Mask_oil/00119.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00121.tif,Mask_oil/00121.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00123.tif,Mask_oil/00123.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00126.tif,Mask_oil/00126.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00127.tif,Mask_oil/00127.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00130.tif,Mask_oil/00130.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00131.tif,Mask_oil/00131.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00132.tif,Mask_oil/00132.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00133.tif,Mask_oil/00133.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00134.tif,Mask_oil/00134.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00135.tif,Mask_oil/00135.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00140.tif,Mask_oil/00140.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00142.tif,Mask_oil/00142.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00143.tif,Mask_oil/00143.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00145.tif,Mask_oil/00145.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00146.tif,Mask_oil/00146.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00148.tif,Mask_oil/00148.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00149.tif,Mask_oil/00149.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00150.tif,Mask_oil/00150.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00151.tif,Mask_oil/00151.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00152.tif,Mask_oil/00152.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00153.tif,Mask_oil/00153.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00154.tif,Mask_oil/00154.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00155.tif,Mask_oil/00155.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00156.tif,Mask_oil/00156.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00157.tif,Mask_oil/00157.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00158.tif,Mask_oil/00158.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00160.tif,Mask_oil/00160.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00161.tif,Mask_oil/00161.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00162.tif,Mask_oil/00162.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00164.tif,Mask_oil/00164.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00165.tif,Mask_oil/00165.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00167.tif,Mask_oil/00167.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00168.tif,Mask_oil/00168.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00169.tif,Mask_oil/00169.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00171.tif,Mask_oil/00171.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00172.tif,Mask_oil/00172.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00173.tif,Mask_oil/00173.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00174.tif,Mask_oil/00174.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00175.tif,Mask_oil/00175.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00176.tif,Mask_oil/00176.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00177.tif,Mask_oil/00177.tif,Oil,2048x2048,2048x2048,PASS,PASS,
Oil/00178.tif,Mask_oil/00178.tif,Oil,2048x2048,2048x2048,PASS,PASS,
