file,ok,width,height,bands,dtypes,crs,nodata,compression,band,min,max,mean,std,median_s4,P1_s4,P5_s4,P25_s4,P50_s4,P75_s4,P95_s4,P99_s4,nan,posinf,neginf,constant,mask_fg,mask_fg_pct,mask_empty,error
Mask_oil/00000.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.003466367721557617,0.05877373577012576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,14539,0.3466367721557617,False,
Mask_oil/00001.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.013405084609985352,0.11500168832058287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,56225,1.3405084609985352,False,
Mask_oil/00002.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.0038895606994628906,0.06224493567374043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,16314,0.38895606994628906,False,
Mask_oil/00003.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.005910634994506836,0.07665311075532778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,24791,0.5910634994506836,False,
Mask_oil/00004.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.010502099990844727,0.1019402074091819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,44049,1.0502099990844727,False,
Mask_oil/00005.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.013239383697509766,0.11429830452294504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,55530,1.3239383697509766,False,
Mask_oil/00006.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.021309375762939453,0.1444135944692649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,89378,2.1309375762939453,False,
Mask_oil/00007.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.01687335968017578,0.1287969309156053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,70772,1.6873359680175781,False,
Mask_oil/00008.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.023972749710083008,0.15296423432103573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,100549,2.397274971008301,False,
Mask_oil/00009.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.010726690292358398,0.10301275847063908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,44991,1.0726690292358398,False,
Mask_oil/00010.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.014905929565429688,0.12117649454089739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,62520,1.4905929565429688,False,
Mask_oil/00011.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.011913061141967773,0.10849488520753184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,49967,1.1913061141967773,False,
Mask_oil/00012.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.04009199142456055,0.19617498221784935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,168158,4.009199142456055,False,
Mask_oil/00013.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.040340423583984375,0.1967563818762916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,169200,4.0340423583984375,False,
Mask_oil/00014.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.007345438003540039,0.08539017826469382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,30809,0.7345438003540039,False,
Mask_oil/00015.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.016528606414794922,0.12749671205478094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,69326,1.6528606414794922,False,
Mask_oil/00016.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.019146442413330078,0.13703961528055716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,80306,1.9146442413330078,False,
Mask_oil/00017.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.02042388916015625,0.14144523290563701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,85664,2.042388916015625,False,
Mask_oil/00018.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.03060603141784668,0.17224779318962685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,128371,3.060603141784668,False,
Mask_oil/00019.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.02113938331604004,0.14384891306178704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,88665,2.113938331604004,False,
Mask_oil/00020.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.019748449325561523,0.13913464009655271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,82831,1.9748449325561523,False,
Mask_oil/00021.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.023926973342895508,0.15282170424891836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,100357,2.392697334289551,False,
Mask_oil/00022.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.007962226867675781,0.08887536110184556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,33396,0.7962226867675781,False,
Mask_oil/00023.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.007931232452392578,0.08870359634298201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,33266,0.7931232452392578,False,
Mask_oil/00024.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.007931709289550781,0.08870624147880934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,33268,0.7931709289550781,False,
Mask_oil/00025.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.024301528930664062,0.15398365050321466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,101928,2.4301528930664062,False,
Mask_oil/00026.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.03553438186645508,0.1851261450250181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,149042,3.553438186645508,False,
Mask_oil/00027.tif,True,2048,2048,1,uint8,,,,1,0.0,1.0,0.010842323303222656,0.10356045253189584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,False,45476,1.0842323303222656,False,
