epoch,train_loss,train_dice,train_iou,lr
1,0.84321,0.14375,0.07744,0.0001
2,0.80444,0.17029,0.09307,0.0001
3,0.79659,0.18584,0.10244,0.0001
4,0.79017,0.24733,0.14111,0.0001
5,0.78174,0.2478,0.14143,0.0001
6,0.74961,0.35926,0.21896,0.0001
7,0.74172,0.39185,0.24366,0.0001
8,0.77609,0.35201,0.2136,0.0001
9,0.72462,0.4496,0.28999,0.0001
10,0.71582,0.48058,0.31629,0.0001
11,0.72567,0.4625,0.30081,0.0001
12,0.7285,0.40069,0.25054,0.0001
13,0.7206,0.5057,0.33842,0.0001
14,0.69625,0.47667,0.31291,0.0001
15,0.70252,0.5441,0.37372,0.0001
16,0.69658,0.49237,0.32658,0.0001
17,0.69694,0.45345,0.2932,0.0001
18,0.67458,0.58298,0.41141,0.0001
19,0.68771,0.53027,0.36079,0.0001
20,0.67766,0.48651,0.32145,0.0001
21,0.6831,0.58105,0.40949,0.0001
22,0.68473,0.55644,0.38547,0.0001
23,0.66816,0.65092,0.48249,0.0001
24,0.65125,0.63567,0.46592,0.0001
25,0.66551,0.60686,0.43561,0.0001
26,0.64085,0.71669,0.55847,0.0001
27,0.66665,0.57403,0.40255,0.0001
28,0.64402,0.64514,0.47617,0.0001
29,0.64298,0.69223,0.52933,0.0001
30,0.62954,0.7648,0.61917,0.0001
