epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,val_f1,train_iou,train_dice,train_precision,train_recall,train_f1,learning_rate,epoch_duration_sec,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_temp_c,sm_clock_mhz,free_ram_mb
1,0.45755,0.5303,0.1292,0.22883,0.14277,0.57605,0.22883,0.33743,0.50459,0.45082,0.57293,0.50459,0.0001,2033.2,302.8,832.6,87,2010,130.0
2,0.29484,0.25324,0.0,0.0,0.0,0.0,0.0,0.37741,0.548,0.61546,0.49386,0.548,0.0001,1267.5,302.8,832.6,87,1995,247.0
3,0.17975,0.3374,0.12198,0.21744,0.14159,0.46837,0.21744,0.38854,0.55964,0.66866,0.48119,0.55964,0.0001,1266.7,302.8,832.6,87,2010,119.0
4,0.16755,0.24699,0.0,0.0,0.0,0.0,0.0,0.41561,0.58719,0.69453,0.50858,0.58719,0.0001,1266.2,302.8,832.6,85,1987,102.0
5,0.15983,0.26735,0.00051,0.00101,0.00167,0.00073,0.00101,0.44119,0.61226,0.6647,0.56749,0.61226,0.0001,1263.9,302.8,832.6,86,2010,160.0
6,0.15314,0.27161,0.01784,0.03505,0.04552,0.02849,0.03505,0.45277,0.62332,0.68318,0.57309,0.62332,0.0001,1263.8,302.8,832.6,86,2002,85.0
7,0.14435,0.26286,0.10635,0.19225,0.16032,0.24006,0.19225,0.48247,0.6509,0.71323,0.59859,0.6509,0.0001,1264.0,302.8,832.6,86,2002,113.0
8,0.14079,0.33318,0.06493,0.12195,0.08454,0.21873,0.12195,0.49666,0.66369,0.72504,0.61191,0.66369,0.0001,1263.8,302.8,832.6,86,2010,79.0
9,0.13337,0.26453,0.10392,0.18827,0.14796,0.25875,0.18827,0.50444,0.67061,0.7076,0.63728,0.67061,0.0001,1264.9,302.8,832.6,86,2010,223.0
10,0.13084,0.23002,0.07804,0.14479,0.2691,0.09904,0.14479,0.50426,0.67044,0.72363,0.62454,0.67044,0.0001,1263.5,302.8,832.6,85,1987,87.0
11,0.12624,0.2647,0.00304,0.00606,0.00843,0.00473,0.00606,0.52162,0.68561,0.72231,0.65246,0.68561,0.0001,1263.1,302.8,832.6,85,1980,55.0
12,0.12748,0.27255,0.16896,0.28908,0.20619,0.48339,0.28908,0.51089,0.67628,0.70908,0.64638,0.67628,0.0001,1264.1,302.8,832.6,86,1995,143.0
13,0.12702,0.25622,0.00359,0.00716,0.04406,0.0039,0.00716,0.52158,0.68557,0.73341,0.6436,0.68557,0.0001,1264.3,302.8,832.6,86,2010,117.0
14,0.12182,0.21779,0.20528,0.34064,0.75577,0.21987,0.34064,0.53466,0.69678,0.73847,0.65955,0.69678,0.0001,1263.9,302.8,832.6,86,2010,158.0
15,0.12076,0.30951,0.10778,0.19459,0.14431,0.29865,0.19459,0.53736,0.69907,0.73362,0.66762,0.69907,0.0001,1263.6,302.8,832.6,86,2010,231.0
16,0.12041,0.18756,0.26094,0.41388,0.7923,0.2801,0.41388,0.53759,0.69926,0.73717,0.66507,0.69926,0.0001,1263.9,302.8,832.6,85,2010,105.0
17,0.11987,0.24704,0.00482,0.00959,0.979,0.00482,0.00959,0.53784,0.69947,0.74894,0.65613,0.69947,0.0001,1262.9,302.8,832.6,84,2010,146.0
18,0.11703,0.19847,0.3226,0.48782,0.78131,0.35462,0.48782,0.54702,0.70719,0.74372,0.67408,0.70719,0.0001,1262.8,302.8,832.6,84,2017,183.0
19,0.11652,0.2439,0.12157,0.21679,0.19227,0.24846,0.21679,0.54139,0.70247,0.75785,0.65463,0.70247,0.0001,1262.5,302.8,832.6,85,2017,81.0
20,0.1137,0.20417,0.38721,0.55826,0.55463,0.56194,0.55826,0.54894,0.7088,0.74033,0.67984,0.7088,0.0001,1262.9,302.8,832.6,85,2017,82.0
21,0.11389,0.20381,0.21979,0.36038,0.85191,0.22852,0.36038,0.54896,0.70881,0.72608,0.69235,0.70881,0.0001,1263.3,302.8,832.6,84,1987,86.0
22,0.11322,0.2553,0.08174,0.15113,0.16452,0.13976,0.15113,0.54956,0.70932,0.73903,0.6819,0.70932,0.0001,1263.6,302.8,832.6,85,2010,120.0
23,0.11512,0.28697,0.19045,0.31996,0.22351,0.56282,0.31996,0.55079,0.71033,0.76335,0.6642,0.71033,0.0001,1264.0,302.8,832.6,85,2010,204.0
24,0.10811,0.25962,0.12736,0.22594,0.19117,0.27615,0.22594,0.55915,0.71725,0.74995,0.68728,0.71725,0.0001,1263.1,302.8,832.6,85,2010,106.0
